No.	Transcript ID	index	score	start	end	length
36	HML2_1p36.21a::chr1:12780115-12785935(-)	noncoding	-0.3003852181260299	2483	2779	5820
37	HML2_1p36.21b::chr1:13012447-13021988(-)	noncoding	-0.298825769103786	6202	6498	9541
38	HERV3_1p36.21a::chr1:13084708-13089947(+)	noncoding	-0.3130073775312511	3245	3535	5239
39	HERV3_1p36.21b::chr1:13136842-13142081(-)	noncoding	-0.3130073775312511	3244	3534	5239
40	HML2_1p36.21c::chr1:13206972-13216513(+)	noncoding	-0.29732927530753783	6203	6499	9541
41	HML2_1p36.21d::chr1:13352736-13362257(+)	coding	0.6718421369732319	6197	6493	9521
42	HERVIP10FH_1p36.21a::chr1:13559651-13560780(+)	noncoding	-0.40480591926578713	10	117	1129
43	HERVH_1p36.21::chr1:13560841-13567494(+)	noncoding	-0.3314589477603208	4681	4893	6653
44	HERVIP10FH_1p36.21b::chr1:13567557-13573195(+)	noncoding	-0.34296134235222886	5341	5598	5638
45	ERVLE_1p36.13a::chr1:15982682-15983526(+)	noncoding	-0.37700972816961476	615	761	844
46	HML3_1p36.13a::chr1:16102814-16108812(-)	noncoding	-0.31683586410717535	4997	5281	5998
47	PRIMA41_1p36.13a::chr1:16529151-16531095(-)	noncoding	-0.35734067687933835	593	703	1944
48	ERVLE_1p36.13b::chr1:16602708-16603314(-)	noncoding	-0.4125737833151084	18	209	606
49	PRIMA41_1p36.13b::chr1:16670469-16671381(-)	noncoding	-0.349876945477393	569	703	912
50	PRIMA41_1p36.13c::chr1:16736083-16736995(+)	noncoding	-0.349876945477393	570	704	912
51	PRIMA41_1p36.13d::chr1:16876821-16878758(+)	noncoding	-0.3472285232925435	570	704	1937
52	MER61_1p36.13::chr1:17491933-17493205(+)	noncoding	-0.40860937199899827	157	210	1272
53	ERVLE_1p36.13c::chr1:17757179-17758849(+)	noncoding	-0.3828879835435669	50	151	1670
54	ERVLE_1p36.13d::chr1:17941282-17944864(-)	noncoding	-0.31562375180413316	260	445	3582
55	ERV316A3_1p36.13::chr1:18843102-18846539(+)	noncoding	-0.3559217914318058	262	414	3437
56	HUERSP3_1p36.13::chr1:19294272-19296835(-)	noncoding	-0.32948591934367055	2234	2452	2563
57	HML3_1p36.13b::chr1:19541477-19547695(+)	coding	0.6463736215542333	481	783	6218
58	HUERSP1_1p36.13::chr1:19847836-19850962(-)	noncoding	-0.40714862700813215	2626	2664	3126
59	HERVK14C_1p36.13::chr1:19927433-19932159(-)	noncoding	-0.335431963333632	411	683	4726
60	ERVLE_1p36.13e::chr1:19941747-19942317(+)	noncoding	-0.436179568360765	322	387	570
61	HML3_1p36.13c::chr1:19997411-20003727(+)	noncoding	-0.3382745773832737	5339	5578	6316
62	LTR46_1p36.13::chr1:20028127-20035516(-)	noncoding	-0.3170449223652303	1121	1504	7389
63	HERVH_1p36.13::chr1:20041281-20045782(-)	noncoding	-0.3496169366390123	2591	2935	4501
64	MER4_1p36.13::chr1:20046813-20053194(+)	noncoding	-0.41131141111930625	2888	2998	6381
65	ERVLE_1p36.13f::chr1:20094082-20097380(+)	noncoding	-0.3763021651879722	2715	2825	3298
66	HERVE_1p36.12::chr1:20154110-20160610(+)	noncoding	-0.2780055644945144	1660	2214	6500
67	HUERSP1_1p36.12::chr1:20515729-20519665(+)	noncoding	-0.3567713505818396	2568	2699	3936
68	ERVLB4_1p36.12a::chr1:21205115-21206755(+)	noncoding	-0.37119776611778776	726	839	1640
69	ERVLB4_1p36.12b::chr1:21207724-21213077(+)	noncoding	-0.34118725867838207	3762	4016	5353
70	MER41_1p36.12::chr1:21389817-21402446(+)	coding	0.6961282966606033	8173	8421	12629
71	ERVLE_1p36.12::chr1:21453383-21453988(+)	noncoding	-0.4220981920288289	476	580	605
72	PABLB_1p36.12::chr1:22944027-22944895(+)	noncoding	-0.3206756909730857	40	336	868
73	MER4_1p36.12a::chr1:22987775-22989766(+)	noncoding	-0.4159318239176336	766	879	1991
74	MER4_1p36.12b::chr1:22989788-22997502(+)	noncoding	-0.33690494107349434	5657	5839	7714
75	HERVH_1p36.12::chr1:22997505-23004403(-)	noncoding	-0.34683961542036024	4835	5059	6898
76	ERVLB4_1p36.11::chr1:24888544-24893132(-)	noncoding	-0.3298241937363052	3700	4005	4588
77	ERV316A3_1p36.11a::chr1:25121778-25123964(-)	noncoding	-0.3628530691584736	1126	1275	2186
78	ERV316A3_1p36.11b::chr1:26145639-26147087(-)	noncoding	-0.3537201597625812	807	950	1448
79	ERVLE_1p36.11a::chr1:26148781-26150036(-)	noncoding	-0.39213238594333555	759	866	1255
80	MER41_1p36.11::chr1:26630245-26636092(+)	noncoding	-0.3231213560242535	989	1426	5847
81	ERVLE_1p36.11b::chr1:26811581-26816449(+)	noncoding	-0.3469389733734122	665	883	4868
82	ERVLE_1p36.11c::chr1:27070419-27074352(+)	noncoding	-0.261908084599476	1251	1757	3933
83	ERVLE_1p36.11d::chr1:27087720-27095180(+)	noncoding	-0.32946421956485017	563	754	7460
84	ERVLE_1p35.3a::chr1:27672710-27674802(-)	noncoding	-0.3786490270646983	1372	1530	2092
85	MER41_1p35.3::chr1:27690156-27694283(-)	noncoding	-0.38256042648583855	3613	3741	4127
86	ERVLE_1p35.3b::chr1:27697848-27698817(-)	noncoding	-0.4033723924952832	695	784	969
87	HARLEQUIN_1p35.3::chr1:28586907-28589810(-)	noncoding	-0.3785265639156319	2693	2812	2903
88	HERVL_1p35.3a::chr1:28654009-28659822(-)	noncoding	-0.3425799366990898	5413	5508	5813
89	ERVLE_1p35.3c::chr1:29333293-29340974(+)	noncoding	-0.36343027839179654	5944	6117	7681
90	ERVLE_1p35.3d::chr1:29405644-29406960(+)	noncoding	-0.44639702244084867	44	160	1316
91	ERV316A3_1p35.3a::chr1:29473273-29474542(-)	noncoding	-0.3405788403248641	81	287	1269
92	HERVL40_1p35.3::chr1:29539105-29540316(-)	noncoding	-0.31962518362616543	965	1132	1211
93	HERV4_1p35.3::chr1:29563476-29565515(-)	noncoding	-0.39524431224288914	1724	1816	2039
94	MER101_1p35.3::chr1:29607043-29611011(+)	noncoding	-0.41300237394429573	33	146	3968
95	ERV316A3_1p35.3b::chr1:29684136-29685259(+)	noncoding	-0.3234961367906909	735	926	1123
96	HML3_1p35.3::chr1:29716607-29717792(-)	noncoding	-0.3170785582322363	271	531	1185
97	HERVL_1p35.3b::chr1:29794201-29800046(+)	noncoding	-0.3201672850267584	3197	3577	5845
98	ERV316A3_1p35.2::chr1:29950154-29954214(+)	noncoding	-0.3687512230384371	664	783	4060
99	ERVLE_1p35.2a::chr1:30061549-30063910(+)	noncoding	-0.3255629022404637	733	930	2361
100	MER101_1p35.2::chr1:30174802-30178548(-)	coding	0.5600802409617087	275	457	3746
101	ERVLE_1p35.2b::chr1:30181315-30182428(+)	noncoding	-0.32901539580658923	526	717	1113
102	HERVH_1p35.2::chr1:30203678-30209113(+)	coding	0.5952647186611943	3365	4003	5435
103	ERVLB4_1p35.2::chr1:30288580-30290268(+)	noncoding	-0.37820684480482847	1515	1658	1688
104	ERVLE_1p35.2c::chr1:30380702-30383477(-)	noncoding	-0.28676435992225546	1675	2280	2775
105	ERVLE_1p35.2d::chr1:30473110-30475382(+)	noncoding	-0.3504939046402329	999	1097	2272
106	ERVLE_1p35.2e::chr1:30543476-30544343(+)	noncoding	-0.3753770132894084	280	408	867
107	MER34B_1p35.2::chr1:30922070-30925887(-)	noncoding	-0.3731469973772712	3354	3482	3817
108	HERVIP10F_1p35.2a::chr1:31453515-31457948(-)	noncoding	-0.3644105713937522	84	224	4433
109	HERVIP10F_1p35.2b::chr1:31457949-31467319(+)	coding	0.6269852785514911	1804	2538	9370
110	HERVIP10F_1p35.2c::chr1:31467354-31471933(-)	noncoding	-0.3195758373045695	2496	2810	4579
111	HERVL_1p35.2::chr1:31517845-31518912(+)	noncoding	-0.3915314013948451	161	289	1067
112	ERVLE_1p35.2f::chr1:31994776-31995333(-)	noncoding	-0.39462523059379073	7	99	557
113	ERVLE_1p35.1a::chr1:32404945-32411940(-)	noncoding	-0.3381831788051871	3528	3731	6995
114	HUERSP3B_1p35.1::chr1:32412918-32421941(+)	noncoding	-0.36336143017030453	8163	8297	9023
115	ERVLE_1p35.1b::chr1:32429861-32430430(-)	noncoding	-0.444804046595929	127	186	569
116	HERVH_1p35.1::chr1:32432337-32438038(+)	noncoding	-0.37139172222957173	3054	3317	5701
117	HERVIP10FH_1p35.1::chr1:32442304-32449911(-)	noncoding	-0.3306489772427774	4864	5190	7607
118	HERVS71_1p35.1::chr1:32923851-32926914(-)	noncoding	-0.30701304078489655	1030	1398	3063
119	ERVLE_1p35.1c::chr1:32928071-32931352(-)	noncoding	-0.38204292807592155	2146	2259	3281
120	HERVK11_1p35.1::chr1:33065126-33068370(+)	noncoding	-0.38983684244124817	469	546	3244
121	ERV316A3_1p35.1a::chr1:33186883-33192763(-)	noncoding	-0.33244296218818803	662	931	5880
122	ERV316A3_1p35.1b::chr1:33581791-33583607(+)	noncoding	-0.3628432052221252	1128	1304	1816
123	ERVLB4_1p35.1::chr1:34050180-34052158(+)	noncoding	-0.3563450831967607	1232	1435	1978
124	ERVLE_1p34.3a::chr1:34464782-34466743(+)	noncoding	-0.3892644134857187	1143	1262	1961
125	ERVLE_1p34.3b::chr1:34601347-34602512(-)	noncoding	-0.3741899333204515	3	176	1165
126	HERVH_1p34.3a::chr1:34631960-34636749(-)	noncoding	-0.36362313411145153	2063	2197	4789
127	HERVFH19_1p34.3::chr1:35075455-35076339(+)	noncoding	-0.41319245305424035	710	772	884
128	MER4_1p34.3b::chr1:35127220-35130565(-)	noncoding	-0.32987844858238746	1267	1449	3345
129	HERVH_1p34.3b::chr1:35132025-35138025(-)	noncoding	-0.33595270220143425	3716	3859	6000
130	HARLEQUIN_1p34.3a::chr1:35138026-35141426(-)	noncoding	-0.3632926072617608	1021	1185	3400
131	HERV3_1p34.3::chr1:35141915-35146564(-)	coding	0.6086621666682586	3486	3716	4649
132	HARLEQUIN_1p34.3b::chr1:35147038-35149819(-)	noncoding	-0.3383647163531355	1261	1410	2781
133	ERVLE_1p34.3c::chr1:35295660-35297321(-)	noncoding	-0.3855826478589649	919	993	1661
134	ERV316A3_1p34.3a::chr1:35648569-35650718(+)	noncoding	-0.3475823706809458	80	187	2149
135	ERV316A3_1p34.3b::chr1:35650750-35651744(+)	noncoding	-0.3720692577284861	411	545	994
136	HERVFH21_1p34.3::chr1:36329861-36337342(+)	noncoding	-0.27356457374641907	4798	5706	7481
137	HML2_1p34.3::chr1:36488984-36491127(-)	noncoding	-0.3174102689010957	1463	1678	2143
138	HERVL_1p34.3a::chr1:37365035-37371640(+)	noncoding	-0.34978340548192977	5310	5465	6605
139	MER101_1p34.3::chr1:37526164-37528920(+)	noncoding	-0.3550574820217477	1687	1824	2756
140	MER41_1p34.3::chr1:37903067-37907814(+)	noncoding	-0.34698894045819295	4107	4376	4747
141	HERVH_1p34.3c::chr1:37907815-37914173(+)	noncoding	-0.368071954543884	2053	2151	6358
142	HERVL_1p34.3b::chr1:38144395-38150922(+)	noncoding	-0.33705783981188875	1607	1987	6527
143	ERV316A3_1p34.3c::chr1:38155702-38159588(+)	noncoding	-0.3676970953099995	1701	1862	3886
144	HERVH_1p34.3d::chr1:38425114-38430779(+)	noncoding	-0.34653556369442906	2045	2179	5665
145	MER4_1p34.3a::chr1:39070989-39075809(-)	noncoding	-0.3783923762321293	3528	3755	4820
146	ERVLE_1p34.2a::chr1:40288340-40289668(-)	noncoding	-0.33557474999844994	1162	1296	1328
147	ERVLB4_1p34.2a::chr1:40433079-40436076(+)	noncoding	-0.3563811417027388	1767	2015	2997
148	ERVLE_1p34.2b::chr1:40841383-40843705(-)	noncoding	-0.35576550963709463	499	642	2322
149	ERVL_1p34.2::chr1:41174282-41175563(+)	noncoding	-0.3557869617386783	170	346	1281
150	ERVLE_1p34.2c::chr1:41436846-41441007(+)	noncoding	-0.2864449571652655	1126	1548	4161
151	HERVW_1p34.2::chr1:41944456-41950309(+)	noncoding	-0.31057500423046536	2043	2729	5853
152	ERV316A3_1p34.2a::chr1:41958113-41960712(+)	noncoding	-0.3604854367750254	2466	2573	2599
153	ERVLE_1p34.2d::chr1:42044766-42045351(-)	noncoding	-0.43728797337629177	193	321	585
154	HUERSP3B_1p34.2a::chr1:42503189-42509107(-)	noncoding	-0.38354821465816524	1254	1400	5918
155	HUERSP3B_1p34.2b::chr1:42509517-42513732(-)	noncoding	-0.3782865000606698	3968	4087	4215
156	ERVLE_1p34.2e::chr1:42593987-42595931(-)	noncoding	-0.3415426341017753	380	613	1944
157	ERVLE_1p34.2f::chr1:42604350-42605878(-)	noncoding	-0.40060210933289	5	82	1528
158	ERVLE_1p34.2g::chr1:42609550-42610212(-)	noncoding	-0.4117820994856902	523	570	662
159	HERVH_1p34.2a::chr1:42856712-42859884(+)	noncoding	-0.3513971368719261	1867	2304	3172
160	HERVL_1p34.2::chr1:42866266-42870243(+)	noncoding	-0.3609462715862468	2625	2768	3977
161	ERVLB4_1p34.2b::chr1:42904887-42912582(-)	noncoding	-0.3641292660570692	5455	5652	7695
162	ERV316A3_1p34.2b::chr1:43042735-43046910(+)	noncoding	-0.33559880758342564	1525	1794	4175
163	ERVLE_1p34.2h::chr1:43074451-43077244(-)	noncoding	-0.3457063794415147	1503	1688	2793
164	MER101_1p34.2::chr1:43083854-43085014(-)	noncoding	-0.3407060728041629	425	571	1160
165	HERVH_1p34.2b::chr1:43085534-43091157(+)	noncoding	-0.38669484369519125	2533	2679	5623
166	ERVLE_1p34.2i::chr1:43467473-43469790(-)	noncoding	-0.26206305371124616	1264	2049	2317
167	ERVLB4_1p34.2c::chr1:43469877-43472738(-)	noncoding	-0.3530617396739454	2612	2809	2861
168	MER4_1p34.1a::chr1:44173127-44181125(-)	coding	0.5989388347019251	5914	6162	7998
169	MER101_1p34.1::chr1:44182783-44186173(-)	noncoding	-0.3745820500493793	513	698	3390
170	ERV316A3_1p34.1a::chr1:44370793-44374424(+)	noncoding	-0.3642110910207107	526	714	3631
171	MER41_1p34.1a::chr1:44888116-44889253(+)	noncoding	-0.3715413242138579	225	302	1137
172	MER41_1p34.1b::chr1:44889829-44890622(+)	noncoding	-0.4210153389713248	428	520	793
173	ERV316A3_1p34.1b::chr1:45212384-45217042(-)	noncoding	-0.3561995292744661	2093	2212	4658
174	ERVLE_1p34.1a::chr1:45226689-45229003(-)	noncoding	-0.4001091328765246	556	645	2314
175	ERVLE_1p34.1b::chr1:45246256-45250095(+)	noncoding	-0.332671149540295	1679	2074	3839
176	MER4_1p34.1c::chr1:45305213-45315797(+)	noncoding	-0.3384178003950594	5511	5690	10584
177	HERVH_1p34.1::chr1:45315974-45320483(+)	noncoding	-0.35389881997565353	630	800	4509
178	MER4_1p34.1b::chr1:45320709-45321542(-)	noncoding	-0.4209961257368048	637	723	833
179	MER61_1p34.1a::chr1:45573148-45575575(-)	noncoding	-0.40346842678837813	1118	1234	2427
180	MER61_1p34.1b::chr1:45575881-45580362(-)	noncoding	-0.3299405346184031	92	505	4481
181	ERVLB4_1p34.1::chr1:46073148-46076202(-)	noncoding	-0.3856949617830243	2184	2438	3054
182	HARLEQUIN_1p33::chr1:46325548-46332557(-)	noncoding	-0.3239458378130943	2936	3244	7009
183	HERVIP10FH_1p33a::chr1:46383762-46385780(-)	noncoding	-0.386526700484248	515	571	2018
184	HERVW_1p33a::chr1:46385782-46391326(-)	noncoding	-0.3388676461639083	3283	3546	5544
185	HERVIP10FH_1p33b::chr1:46391343-46393974(-)	noncoding	-0.30679710514212566	1148	1561	2631
186	MER4_1p33a::chr1:46771192-46774760(+)	noncoding	-0.3719879311613793	673	831	3568
187	MER4_1p33b::chr1:46774779-46775748(-)	noncoding	-0.48939867283775473	68	91	969
188	MER4_1p33c::chr1:46784143-46785370(-)	noncoding	-0.4685501458198549	1159	1209	1227
189	MER4_1p33d::chr1:46785598-46788568(-)	noncoding	-0.3480609084458487	892	1086	2970
190	HUERSP3B_1p33a::chr1:46874045-46877756(+)	noncoding	-0.3550569152097224	1923	2225	3711
191	HERVK11_1p33::chr1:46900689-46908072(+)	noncoding	-0.38467153272027144	4290	4448	7383
192	HERVW_1p33b::chr1:46946602-46948076(+)	noncoding	-0.4001802874785598	442	591	1474
193	HERVW_1p33c::chr1:46951891-46958907(+)	noncoding	-0.3190655758563683	1250	1948	7016
194	HUERSP3B_1p33b::chr1:47090170-47093881(-)	noncoding	-0.3346732816037926	1923	2150	3711
195	HERVW_1p33d::chr1:47129814-47131292(-)	noncoding	-0.4058028712898166	560	700	1478
196	ERVLB4_1p33::chr1:47807138-47808402(+)	noncoding	-0.38225893916012155	972	1148	1264
197	ERVLE_1p33a::chr1:48129284-48130752(-)	noncoding	-0.3866273054377457	370	501	1468
198	HERVFRD_1p33::chr1:48186349-48191622(-)	noncoding	-0.34706764144650704	2790	2960	5273
199	HERVH_1p33::chr1:48209002-48214821(-)	noncoding	-0.35129276869456305	3401	3541	5819
200	HML3_1p33::chr1:48513245-48520256(-)	noncoding	-0.340001191880951	635	1000	7011
201	ERVLE_1p33b::chr1:48974627-48978216(+)	noncoding	-0.38042720953947806	2525	2728	3589
202	MER41_1p33::chr1:49340672-49347240(+)	noncoding	-0.36904341298502685	1060	1191	6568
203	HERVL_1p33a::chr1:49439505-49442076(+)	noncoding	-0.3363894620970661	1250	1621	2571
204	HERVL_1p33b::chr1:49572733-49579287(+)	noncoding	-0.34473970537921406	5528	5632	6554
205	ERV316A3_1p33::chr1:49626047-49632050(-)	noncoding	-0.3559449567902834	4901	5059	6003
206	MER4_1p33e::chr1:49870933-49873834(+)	noncoding	-0.4835812376367591	2744	2818	2901
207	HERVL_1p33c::chr1:50165834-50169387(-)	noncoding	-0.35445004079099407	677	910	3553
208	ERVLE_1p32.3a::chr1:50792486-50796194(+)	noncoding	-0.41697204593719883	1405	1518	3708
209	HERVL40_1p32.3::chr1:50942586-50947014(-)	noncoding	-0.39507088767930454	3443	3544	4428
210	ERVLE_1p32.3b::chr1:51165011-51169107(-)	noncoding	-0.36309245387119693	2584	2706	4096
211	HERVW_1p32.3a::chr1:51226975-51230497(+)	noncoding	-0.32158702677323026	906	1223	3522
212	ERV316A3_1p32.3a::chr1:52152823-52159748(-)	noncoding	-0.3382692018907645	4612	4746	6925
213	MER41_1p32.3::chr1:52832683-52834593(-)	noncoding	-0.41723649539373997	857	937	1910
214	HERVH_1p32.3a::chr1:53424337-53430029(+)	noncoding	-0.35450704482578865	2071	2205	5692
215	HERVH_1p32.3b::chr1:53432880-53435177(+)	noncoding	-0.37227694407251866	595	813	2297
216	ERVLE_1p32.3c::chr1:53477198-53481817(-)	noncoding	-0.3189788747426704	3911	4333	4619
217	ERV316A3_1p32.3b::chr1:54101969-54105569(+)	noncoding	-0.29195995336051805	83	421	3600
218	HML3_1p32.3::chr1:54630287-54636120(+)	noncoding	-0.33762972644986156	656	904	5833
219	HERVH_1p32.3c::chr1:54897904-54903584(-)	noncoding	-0.3412225216480974	3145	3510	5680
220	HERVH_1p32.3d::chr1:54906872-54910857(-)	noncoding	-0.3462289474537912	1271	1549	3985
221	HERVW_1p32.3b::chr1:54911009-54919525(-)	noncoding	-0.323846964421744	7351	7683	8516
222	PRIMAX_1p32.3::chr1:54932383-54935270(-)	noncoding	-0.4004871647953909	1157	1342	2887
223	HERVH_1p32.3e::chr1:55022708-55028369(+)	noncoding	-0.3605868408866969	2107	2322	5661
224	ERVLE_1p32.3d::chr1:55407838-55411559(+)	noncoding	-0.4167521930124354	2756	2860	3721
225	ERVLE_1p32.3e::chr1:55437108-55437672(+)	noncoding	-0.3681279626389401	233	298	564
226	ERVLE_1p32.3f::chr1:55471412-55472626(-)	noncoding	-0.384011829526284	199	303	1214
227	ERVLE_1p32.3g::chr1:55497908-55499942(-)	noncoding	-0.352139096182277	600	821	2034
228	HERVL_1p32.2a::chr1:55729046-55734929(+)	coding	0.6305994221873066	5594	5878	5883
229	ERVL_1p32.2a::chr1:55779089-55783183(-)	noncoding	-0.34029144162169944	441	647	4094
230	HERVW_1p32.2::chr1:55783184-55788968(-)	noncoding	-0.3481457381880263	4469	4894	5784
231	ERVL_1p32.2b::chr1:55788969-55791432(-)	noncoding	-0.38545042346138225	1707	1829	2463
232	ERV316A3_1p32.2a::chr1:55812852-55814649(-)	noncoding	-0.3847887855909915	936	1139	1797
233	ERVLE_1p32.2a::chr1:55829055-55829916(-)	noncoding	-0.3674260692786405	740	859	861
234	ERV316A3_1p32.2b::chr1:55842855-55844924(-)	noncoding	-0.4008925373633182	291	395	2069
235	ERV316A3_1p32.2c::chr1:55888184-55889591(-)	noncoding	-0.37004162944079455	753	878	1407
236	ERVLE_1p32.2b::chr1:56083511-56084398(+)	noncoding	-0.45837273429601844	465	539	887
237	ERV316A3_1p32.2d::chr1:56608052-56608727(+)	noncoding	-0.4250535629190153	143	223	675
238	HERVL_1p32.2b::chr1:57557024-57563307(+)	noncoding	-0.33159276176913555	4910	5131	6283
239	HERV9_1p32.2::chr1:58167160-58175478(+)	noncoding	-0.3155569516068423	3278	3628	8318
240	ERVLE_1p32.2c::chr1:58364583-58365289(-)	noncoding	-0.4394517978109671	433	489	706
241	ERV316A3_1p32.2e::chr1:58365304-58366814(+)	noncoding	-0.3681163095214184	653	889	1510
242	ERV316A3_1p32.2f::chr1:58367294-58369323(+)	noncoding	-0.38193691547056596	1788	2003	2029
243	ERV316A3_1p32.1a::chr1:58547607-58551064(-)	noncoding	-0.34120322140179793	2154	2285	3457
244	ERV316A3_1p32.1b::chr1:59227368-59231293(-)	noncoding	-0.3349810474676427	2693	2941	3925
245	ERVLE_1p32.1::chr1:60126787-60127946(+)	noncoding	-0.39034649420143785	1026	1154	1159
246	ERVLB4_1p32.1::chr1:60177052-60179474(-)	noncoding	-0.41097290797021235	131	268	2422
247	HERVL_1p32.1::chr1:60246749-60249620(+)	noncoding	-0.37053536211189264	173	511	2871
248	ERV316A3_1p32.1c::chr1:60534356-60536130(+)	noncoding	-0.3413092258535375	886	1098	1774
249	ERVLE_1p31.3a::chr1:60838875-60839451(+)	noncoding	-0.4498249843514692	262	450	576
250	ERVLE_1p31.3b::chr1:61491454-61493071(-)	noncoding	-0.42134215921702134	1041	1121	1617
251	HERVL_1p31.3a::chr1:61532357-61533664(-)	noncoding	-0.403268600398232	798	914	1307
252	ERVLE_1p31.3c::chr1:61624862-61627276(+)	noncoding	-0.4006893380443831	745	840	2414
253	ERVLE_1p31.3d::chr1:61632364-61634362(+)	noncoding	-0.41548948067630354	674	781	1998
254	HML1_1p31.3::chr1:62178464-62183789(-)	noncoding	-0.3381829687999709	891	998	5325
255	ERV316A3_1p31.3a::chr1:62427667-62431892(-)	noncoding	-0.37461603111495645	1453	1776	4225
256	HERVH_1p31.3a::chr1:63572744-63574886(-)	noncoding	-0.38052204456901517	1783	2037	2142
257	ERV316A3_1p31.3b::chr1:63705544-63707137(+)	noncoding	-0.38967197833831235	681	785	1593
258	ERV316A3_1p31.3c::chr1:63707156-63708437(+)	noncoding	-0.417578875904435	973	1173	1281
259	ERV316A3_1p31.3d::chr1:63764735-63765414(-)	noncoding	-0.41096942791838953	197	277	679
260	HERVL18_1p31.3a::chr1:64186607-64192762(+)	coding	0.6491932434783168	1902	2612	6155
261	HERVH_1p31.3b::chr1:64349943-64355761(-)	noncoding	-0.3407558396491893	3101	3382	5818
262	ERV316A3_1p31.3e::chr1:64729146-64734751(-)	noncoding	-0.3459135430661068	248	499	5605
263	ERV316A3_1p31.3f::chr1:64974575-64976920(-)	noncoding	-0.362539075944323	866	1126	2345
264	HERVH_1p31.3c::chr1:65643207-65648034(-)	noncoding	-0.3556944538213037	2061	2288	4827
265	ERVLE_1p31.3e::chr1:65693577-65694841(+)	noncoding	-0.3378410543746758	392	667	1264
266	HERVL_1p31.3b::chr1:65927540-65930375(-)	coding	0.6895536648274025	581	1345	2835
267	ERV316A3_1p31.3g::chr1:65945013-65946329(-)	noncoding	-0.4444112354578835	9	89	1316
